Unnamed: 0,Order_ID,Order_Date,Customer_ID,Product_ID,Store_ID,Sales_Channel,Quantity,Unit_Price,Discount_PCT,Total_Amount
136,O00136,2024-04-28,C0796,P1194,0,Online,1,50.75,0.2,40.6
137,O00137,2025-01-10,C0263,P1128,0,Online,1,153.7,0.2,122.96
138,O00138,2024-12-25,C0275,P0417,S051,In-Store,1,56.54,0.2,45.23
139,O00139,2024-01-17,C0237,P0888,S057,In-Store,1,99.91,0.2,79.93
140,O00140,2023-10-05,C0185,P0940,0,Online,2,21.41,0.05,40.68
141,O00141,2024-07-10,C0502,P0369,S001,In-Store,3,314.41,0.1,848.91
142,O00142,2023-06-01,C0181,P0807,S012,In-Store,1,135.25,0.0,135.25
143,O00143,2023-04-23,C0436,P0502,S041,In-Store,2,256.28,0.2,410.05
144,O00144,2023-05-03,C0539,P0281,S051,In-Store,2,197.67,0.0,395.34
145,O00145,2025-03-22,C0386,P0786,0,Online,2,21.67,0.0,43.34
146,O00146,2024-10-21,C0659,P0089,0,Online,2,229.1,0.0,458.2
147,O00147,2023-12-24,C0642,P0027,S000,In-Store,2,236.79,0.0,473.58
148,O00148,2024-05-22,C0346,P0174,0,Online,2,178.88,0.2,286.21
149,O00149,2023-06-14,C0454,P0334,S030,In-Store,1,135.83,0.05,129.04
150,O00150,2023-06-30,C0556,P0547,S007,In-Store,2,235.33,0.0,470.66
151,O00151,2025-01-27,C0105,P1115,0,Online,2,265.8,0.2,425.28
152,O00152,2024-02-18,C0229,P0049,0,Online,1,186.29,0.2,149.03
153,O00153,2024-04-28,C0671,P0587,0,Online,2,78.06,0.2,124.9
154,O00154,2024-06-27,C0732,P0230,S007,In-Store,2,73.43,0.05,139.52
155,O00155,2023-09-26,C0288,P0731,0,Online,1,138.18,0.1,124.36
156,O00156,2024-01-29,C0086,P0088,S011,In-Store,3,361.93,0.2,868.63
157,O00157,2023-06-09,C0614,P0371,S009,In-Store,4,229.56,0.1,826.42
158,O00158,2024-09-03,C0293,P0713,S017,In-Store,1,175.75,0.2,140.6
159,O00159,2023-07-20,C0271,P0156,S055,In-Store,1,140.3,0.05,133.28
160,O00160,2023-09-30,C0150,P0655,0,Online,2,25.85,0.2,41.36
161,O00161,2023-04-16,C0526,P0979,S007,In-Store,2,117.11,0.2,187.38
162,O00162,2024-12-12,C0285,P0296,0,Online,1,34.89,0.05,33.15
163,O00163,2024-08-26,C0394,P0722,S027,In-Store,3,17.67,0.2,42.41
164,O00164,2025-01-22,C0423,P0682,0,Online,1,197.42,0.05,187.55
165,O00165,2025-03-27,C0562,P1018,S031,In-Store,2,167.01,0.05,317.32
166,O00166,2023-07-14,C0594,P0863,S049,In-Store,1,109.7,0.05,104.22
167,O00167,2024-07-15,C0240,P0740,0,Online,3,149.47,0.0,448.41
168,O00168,2023-09-29,C0485,P0273,S003,In-Store,3,125.14,0.1,337.88
169,O00169,2025-01-02,C0797,P0285,0,Online,1,86.63,0.05,82.3
170,O00170,2024-07-18,C0564,P0862,0,Online,1,105.88,0.05,100.59
171,O00171,2025-04-09,C0141,P0240,S045,In-Store,2,85.49,0.05,162.43
172,O00172,2023-07-05,C0026,P0869,S044,In-Store,1,216.72,0.0,216.72
173,O00173,2025-01-08,C0075,P0976,S055,In-Store,1,290.2,0.05,275.69
174,O00174,2024-08-04,C0374,P0289,0,Online,2,17.32,0.0,34.64
175,O00175,2024-12-12,C0426,P0306,S030,In-Store,1,148.17,0.05,140.76
176,O00176,2024-10-19,C0715,P0613,S046,In-Store,1,316.84,0.1,285.16
177,O00177,2024-09-22,C0660,P0027,0,Online,1,236.79,0.05,224.95
178,O00178,2025-03-21,C0657,P0065,S011,In-Store,1,103.15,0.05,97.99
179,O00179,2023-11-11,C0433,P0930,S053,In-Store,3,201.43,0.1,543.86
180,O00180,2024-08-15,C0513,P0626,S027,In-Store,1,352.02,0.05,334.42
181,O00181,2023-05-09,C0094,P1068,S017,In-Store,2,222.82,0.05,423.36
182,O00182,2024-04-07,C0410,P0114,0,Online,1,291.58,0.05,277.0
183,O00183,2025-03-24,C0572,P0158,S029,In-Store,1,106.61,0.2,85.29
184,O00184,2024-09-02,C0657,P0829,S010,In-Store,2,244.31,0.0,488.62
185,O00185,2024-04-15,C0662,P0868,0,Online,2,207.53,0.0,415.06
186,O00186,2023-06-15,C0371,P0687,0,Online,2,207.29,0.1,373.12
187,O00187,2024-12-12,C0109,P0133,0,Online,2,50.24,0.0,100.48
188,O00188,2023-08-18,C0316,P0384,S040,In-Store,1,35.44,0.0,35.44
189,O00189,2024-11-15,C0087,P1167,S036,In-Store,1,55.44,0.2,44.35
190,O00190,2023-10-09,C0322,P0190,S000,In-Store,1,232.24,0.1,209.02
191,O00191,2024-02-09,C0407,P1024,0,Online,1,22.98,0.2,18.38
192,O00192,2024-09-16,C0132,P0199,S057,In-Store,4,115.92,0.0,463.68
193,O00193,2023-10-08,C0793,P0307,0,Online,3,184.0,0.2,441.6
194,O00194,2024-04-27,C0038,P0594,0,Online,1,9.3,0.2,7.44
195,O00195,2023-12-03,C0640,P0191,S014,In-Store,1,208.21,0.05,197.8
196,O00196,2023-07-10,C0669,P0288,S010,In-Store,2,281.92,0.1,507.46
197,O00197,2025-02-18,C0134,P0694,0,Online,2,156.82,0.2,250.91
198,O00198,2024-03-04,C0729,P0793,0,Online,2,273.34,0.0,546.68
199,O00199,2025-01-03,C0580,P1018,0,Online,1,167.01,0.0,167.01
200,O00200,2025-02-01,C0316,P1120,S051,In-Store,1,146.64,0.0,146.64
201,O00201,2023-10-11,C0465,P0642,0,Online,2,258.83,0.1,465.89
202,O00202,2024-09-09,C0286,P1180,S005,In-Store,2,89.37,0.0,178.74
203,O00203,2024-06-05,C0790,P0943,0,Online,1,181.12,0.2,144.9
204,O00204,2023-12-11,C0781,P0905,S008,In-Store,1,138.07,0.0,138.07
205,O00205,2024-10-14,C0499,P0081,S018,In-Store,1,102.43,0.2,81.94
206,O00206,2024-08-26,C0634,P0264,S032,In-Store,2,69.39,0.1,124.9
207,O00207,2024-03-27,C0698,P0846,S016,In-Store,4,257.54,0.0,1030.16
208,O00208,2024-12-09,C0659,P0116,S015,In-Store,2,196.71,0.0,393.42
209,O00209,2024-08-06,C0107,P0595,S036,In-Store,1,277.06,0.2,221.65
210,O00210,2024-10-29,C0228,P0795,S042,In-Store,2,255.38,0.0,510.76
211,O00211,2023-10-07,C0479,P1095,S029,In-Store,2,96.11,0.0,192.22
212,O00212,2023-08-05,C0749,P0221,S059,In-Store,2,58.35,0.2,93.36
213,O00213,2023-12-07,C0204,P0822,S020,In-Store,2,79.83,0.1,143.69
214,O00214,2024-12-31,C0497,P0435,S030,In-Store,4,254.88,0.0,1019.52
215,O00215,2023-11-30,C0039,P1116,0,Online,1,207.01,0.2,165.61
216,O00216,2023-06-28,C0218,P0655,S038,In-Store,2,25.85,0.2,41.36
217,O00217,2024-11-24,C0370,P0880,S013,In-Store,1,166.53,0.0,166.53
218,O00218,2025-02-16,C0023,P0866,0,Online,2,64.96,0.05,123.42
219,O00219,2023-11-20,C0070,P0560,S019,In-Store,1,59.02,0.2,47.22
220,O00220,2024-05-20,C0537,P0438,S016,In-Store,1,270.3,0.05,256.79
221,O00221,2024-01-19,C0094,P0877,S048,In-Store,1,238.06,0.1,214.25
222,O00222,2024-12-01,C0357,P0858,S034,In-Store,2,309.56,0.05,588.16
223,O00223,2025-03-18,C0447,P0726,S036,In-Store,2,268.98,0.2,430.37
224,O00224,2024-07-20,C0574,P1016,0,Online,1,321.0,0.05,304.95
225,O00225,2024-11-21,C0751,P0648,0,Online,2,240.95,0.2,385.52
226,O00226,2023-10-05,C0511,P0648,0,Online,1,240.95,0.2,192.76
227,O00227,2023-06-04,C0739,P0007,S017,In-Store,1,276.22,0.05,262.41
228,O00228,2025-01-15,C0654,P1184,0,Online,1,32.67,0.05,31.04
229,O00229,2024-08-30,C0192,P0860,S049,In-Store,1,179.4,0.05,170.43
230,O00230,2023-11-02,C0221,P0712,0,Online,4,124.0,0.05,471.2
231,O00231,2025-04-03,C0590,P0029,S023,In-Store,2,37.24,0.0,74.48
232,O00232,2024-04-03,C0314,P1028,S007,In-Store,1,233.27,0.2,186.62
233,O00233,2023-08-28,C0466,P0847,S022,In-Store,1,292.23,0.2,233.78
234,O00234,2024-11-29,C0783,P0687,0,Online,3,207.29,0.05,590.78
235,O00235,2025-01-03,C0382,P0362,S010,In-Store,4,149.41,0.2,478.11
236,O00236,2024-11-19,C0675,P0895,S044,In-Store,1,205.55,0.0,205.55
237,O00237,2024-02-15,C0106,P0183,S039,In-Store,1,304.66,0.2,243.73
238,O00238,2025-04-09,C0767,P1115,0,Online,3,265.8,0.2,637.92
239,O00239,2024-02-02,C0033,P0593,S013,In-Store,2,71.58,0.05,136.0
240,O00240,2024-07-09,C0564,P0780,0,Online,1,253.19,0.2,202.55
241,O00241,2025-03-04,C0359,P0950,S052,In-Store,20,182.2,0.2,2915.2
242,O00242,2024-04-10,C0383,P0458,S017,In-Store,1,296.72,0.1,267.05
243,O00243,2025-02-14,C0480,P0849,S000,In-Store,2,111.61,0.2,178.58
244,O00244,2023-07-04,C0026,P0314,S053,In-Store,2,144.23,0.1,259.61
245,O00245,2023-06-27,C0585,P0880,0,Online,2,166.53,0.2,266.45
246,O00246,2024-07-14,C0659,P0805,S051,In-Store,1,290.78,0.2,232.62
247,O00247,2024-01-01,C0651,P0799,0,In-Store,2,61.07,0.2,97.71
248,O00248,2024-11-12,C0529,P0324,S006,In-Store,1,96.35,0.05,91.53
249,O00249,2024-09-16,C0646,P1181,S053,In-Store,2,64.84,0.1,116.71
250,O00250,2023-08-27,C0162,P0660,0,Online,1,161.23,0.0,161.23
251,O00251,2024-11-27,C0011,P0111,0,Online,1,184.61,0.0,184.61
252,O00252,2024-04-23,C0025,P0267,S040,In-Store,1,349.07,0.1,314.16
253,O00253,2024-02-21,C0668,P0454,0,Online,2,57.81,0.05,109.84
254,O00254,2025-01-17,C0526,P0774,S042,In-Store,2,58.03,0.0,116.06
255,O00255,2024-08-20,C0147,P0047,S037,In-Store,1,141.0,0.0,141.0
256,O00256,2024-08-14,C0610,P0251,0,Online,2,201.63,0.1,362.93
257,O00257,2023-08-11,C0184,P0190,0,Online,1,232.24,0.1,209.02
258,O00258,2024-01-13,C0212,P0800,0,Online,1,100.39,0.0,100.39
259,O00259,2024-02-09,C0498,P0156,0,Online,1,140.3,0.2,112.24
260,O00260,2023-07-30,C0321,P0923,S011,In-Store,4,73.26,0.1,263.74
261,O00261,2023-11-21,C0182,P1161,0,In-Store,1,32.57,0.0,32.57
262,O00262,2023-07-27,C0351,P0710,S039,In-Store,3,23.5,0.0,70.5
263,O00263,2024-05-01,C0759,P0521,S012,In-Store,2,206.03,0.0,412.06
264,O00264,2024-10-16,C0530,P1048,S013,In-Store,2,60.3,0.1,108.54
265,O00265,2023-10-17,C0222,P0060,S014,In-Store,3,146.26,0.0,438.78
266,O00266,2024-05-11,C0129,P0548,0,Online,2,209.52,0.05,398.09
267,O00267,2024-06-06,C0356,P1129,S029,In-Store,2,81.51,0.2,130.42
268,O00268,2025-02-03,C0409,P0395,0,Online,1,78.81,0.05,74.87
269,O00269,2024-12-29,C0734,P0575,S006,In-Store,3,101.87,0.1,275.05
270,O00270,2023-05-26,C0210,P0999,S028,In-Store,3,185.46,0.2,445.1
271,O00271,2023-07-31,C0278,P0652,S038,In-Store,1,171.03,0.2,136.82
272,O00272,2024-10-30,C0580,P0722,S040,In-Store,1,17.67,0.0,17.67
273,O00273,2024-08-21,C0034,P1047,0,Online,1,126.31,0.2,101.05
274,O00274,2023-07-11,C0660,P1086,S001,In-Store,1,80.63,0.0,80.63
275,O00275,2023-12-22,C0330,P0879,S022,In-Store,1,168.21,0.05,159.8
276,O00276,2024-05-28,C0672,P0761,S049,In-Store,3,240.31,0.1,648.84
277,O00277,2024-10-24,C0326,P0022,S013,In-Store,1,124.36,0.2,99.49
278,O00278,2024-05-04,C0329,P0476,S024,In-Store,1,52.23,0.1,47.01
279,O00279,2024-02-16,C0539,P0445,0,Online,2,35.94,0.1,64.69
280,O00280,2024-11-07,C0687,P0153,S041,In-Store,2,56.67,0.2,90.67
281,O00281,2024-01-22,C0445,P0650,S012,In-Store,1,190.7,0.05,181.16
282,O00282,2024-03-21,C0505,P1021,0,Online,1,176.65,0.1,158.99
283,O00283,2023-05-20,C0127,P0927,0,Online,2,33.5,0.1,60.3
284,O00284,2023-08-14,C0242,P1180,0,Online,3,89.37,0.0,268.11
285,O00285,2023-09-03,C0589,P0009,S018,In-Store,1,250.87,0.05,238.33
286,O00286,2023-10-18,C0412,P0075,S058,In-Store,1,199.17,0.0,199.17
287,O00287,2023-10-03,C0016,P0142,S053,In-Store,2,132.42,0.2,211.87
288,O00288,2024-01-03,C0281,P0649,S025,In-Store,1,266.25,0.0,266.25
289,O00289,2023-10-29,C0320,P1011,S025,In-Store,1,88.39,0.1,79.55
290,O00290,2024-03-04,C0465,P1010,S058,In-Store,1,228.83,0.0,228.83
291,O00291,2024-04-30,C0632,P0210,0,Online,1,193.02,0.0,193.02
292,O00292,2024-12-22,C0142,P0215,S055,In-Store,1,203.42,0.2,162.74
293,O00293,2023-12-10,C0090,P0391,S051,In-Store,1,234.22,0.1,210.8
294,O00294,2023-06-04,C0550,P0010,S055,In-Store,2,99.46,0.0,198.92
295,O00295,2023-09-24,C0797,P0088,0,Online,3,361.93,0.1,977.21
296,O00296,2024-03-16,C0337,P0777,0,Online,2,145.77,0.05,276.96
297,O00297,2023-10-05,C0597,P0943,0,Online,1,181.12,0.1,163.01
298,O00298,2024-07-19,C0771,P1196,S057,In-Store,1,103.64,0.2,82.91
299,O00299,2023-07-17,C0684,P0250,S015,In-Store,1,294.26,0.2,235.41
300,O00300,2024-08-18,C0287,P0659,S030,In-Store,2,218.6,0.05,415.34
301,O00301,2024-10-05,C0784,P0606,S022,In-Store,2,6.77,0.05,12.86
302,O00302,2024-04-05,C0752,P0421,S004,In-Store,1,322.09,0.2,257.67
303,O00303,2023-08-12,C0013,P0442,S024,In-Store,2,206.69,0.05,392.71
304,O00304,2024-02-23,C0348,P0427,S048,In-Store,2,219.82,0.1,395.68
305,O00305,2023-09-01,C0319,P0929,S054,In-Store,3,34.13,0.0,102.39
306,O00306,2023-06-09,C0224,P0744,S028,In-Store,2,190.33,0.05,361.63
307,O00307,2023-12-14,C0192,P0140,0,Online,2,187.12,0.05,355.53
308,O00308,2025-04-03,C0591,P0209,0,Online,2,25.81,0.0,51.62
309,O00309,2023-12-05,C0246,P0033,S011,In-Store,3,288.63,0.1,779.3
310,O00310,2025-02-25,C0677,P1087,S016,In-Store,2,36.72,0.0,73.44
311,O00311,2024-01-28,C0086,P0725,S009,In-Store,1,240.4,0.2,192.32
312,O00312,2024-03-23,C0520,P0683,0,Online,3,27.06,0.1,73.06
313,O00313,2025-03-09,C0050,P0783,S027,In-Store,2,59.11,0.05,112.31
314,O00314,2023-04-16,C0412,P0361,S033,In-Store,1,214.0,0.2,171.2
315,O00315,2023-07-16,C0111,P0102,S007,In-Store,1,221.14,0.05,210.08
316,O00316,2023-04-16,C0036,P1178,0,Online,2,63.25,0.0,126.5
317,O00317,2025-03-30,C0282,P0463,S044,In-Store,2,192.98,0.2,308.77
318,O00318,2024-04-06,C0103,P0450,S056,In-Store,2,225.1,0.1,405.18
319,O00319,2023-07-10,C0175,P0416,S018,In-Store,2,166.68,0.1,300.02
320,O00320,2023-05-02,C0096,P0379,0,In-Store,3,186.5,0.2,447.6
321,O00321,2024-08-14,C0704,P0488,0,Online,3,197.17,0.0,591.51
322,O00322,2024-06-14,C0340,P0932,0,Online,2,249.21,0.0,498.42
323,O00323,2023-09-27,C0438,P0684,0,Online,2,222.84,0.1,401.11
324,O00324,2024-01-25,C0174,P0019,S030,In-Store,1,175.44,0.0,175.44
325,O00325,2024-01-27,C0253,P0967,0,Online,2,177.85,0.0,355.7
326,O00326,2023-09-02,C0297,P0467,S010,In-Store,3,102.73,0.05,292.78
327,O00327,2024-08-04,C0102,P0623,S021,In-Store,1,122.49,0.2,97.99
328,O00328,2025-03-17,C0359,P1117,0,Online,1,233.4,0.2,186.72
